abandon;покидать, бросать
abandoned;покинутый
able;способный
about;около, почти
above;наверху, выше
abroad;ехать за границу
abruptly;внезапно
abundance;изобилие
accent;акцент
accept;принимать
accidentally;внезапно
ache;боль, болеть
achievement;достижение
acorn;жёлудь
acrid;резкий
across;поперёк
acting;актерская игра
activity;занятие
actress;актриса
actually;на самом деле
add;добавлять
addendum;дополнение
adjust;поправлять
admit;признаваться
admitted;признавался
adult;взрослый
advance;двигаться, продвигаться
adventure;приключение
adventurous;отважный
advice;совет
afraid;испуганный
after;после
afterimage;остаточный образ
afternoon;день, полдень
again;опять
against;против
age;возраст
ageing;стареющий
ago;тому назад
agree;соглашаться
agreed;соглашался
ahead;вперёд, впереди
ahoy;на палубе
air;воздух
alarmed;встревоженный
alas;увы
album;альбом
alien;пришелец
alive;живой
all;все
allowed;быть дозволенным, иметь
allow;дозволять
almost;почти, едва ли
alone;один
along;вдоль,по, вместе с
aloud;вслух
already;уже
also;также
alternately;иначе
although;хотя
always;всегда
Amazon;амазонка
amble;прогуливаться
among;среди
amusing;забавный, развлекательный
anger;гнев, злость
angle;угол
angrily;злобно
angry;рассерженный
another;ещё один, другой
answer;ответ, отвечать
anteroom;прихожая
anxious;взволнованный
any;какой нибудь
anymore;больше не
anyone;кто-нибудь
anything;что-нибудь
anyway;во всяком случае
anywhere;где угодно
apart;порознь
apparently;очевидно
appear;появляться
appeared;появлялся
applaud;аплодировать
applause;аплодисменты
apprehensive;нервный, опасающийся
approach;подход, подходить
approximate;примерный
apron;фартук
arc;дуга, изгибаться
argument;спор
arm;рука, вооружать
armchair;кресло
around;вокруг
arrive;прибытие
art;искусство
as;в качестве, как, наподобие, поскольку
ash;пепел
ashtray;пепельница
asleep;спящий
assistant;помощник, ассистент
astonishing;удивительный
astonishingly;удивительно
astounding;невероятный
at;на, в, при, у, за, около
attach;присоединять
attached;присоединявший
attic;чердак
audience;зрители
august;август
author;автор
avoid;избегать
awake;проснувшийся, будить
awaken;пробуждаться
aware;осознавать что либо
away;прочь, далеко
awful;ужасный
awkwardly;неловко
aye;да,ага
backed;отступал, отходил
backwards;обратно
bacon;бекон
bad;плохой
badly;плохо
bag;сумка
baggy;мешковатый
bake;печь
baking;выпекание
balding;лысеющий
Ball;мяч
balloon;шарик, раздуваться
ballpoint pen;шариковая ручка
bang;громкий звук, стучать
banged;стучал
bare;голый, оголять
bared;оголялся
barely;едва
barely there;едва заметный
bark;кора, лаять
barked;лаял
basked;корзина
basson;фагот
bat;летучая мышь, бить
bath;ванна
bathed;ванная прошедшее время
bathroom;ванная комната
battered;потрёпанный
battery;батарея, батарейка
battering;батарейка
be;быть
beach;пляж
beam;луч
bean;боб
bear;медведь, выносить
beat;бить, биться
beaten;избитый, бил
beating;стук
beauty;красавица, красота
become;становится
became;становился
because;потому что
beckon;манить, звать
becoming;становление, превращение
bed;кровать
to go to bed;идти спать
bedroom;спальня
bedtime;время в постели
beech;бук
been;был
beetle;жук
before;перед, до
began;начинал
begin;начинать
beginning;начало
begun;начинал
behaviour;поведение
behind;за
from behind;сзади
being;был
beldam;ведьма, колдунья
belief;убеждение
believe;верить, полагать
believed;верил
belly;живот
belong;принадлежать
below;внизу, вниз, под
bend;гнутся
beneath;ниже, под
bent;наклонённый
beside;рядом с, близ
bet;ставка, думать, считать, надеяться
between;между
beyond;за гранью
bicycle;велосипед
big;большой
bigger;больше
biggest;наибольший
bin;бак
bird;птица
birthday;день рождения
biscuit;булка
bit;небольшой кусок
a bit;немного, слегка
for a bit;немного по времени
bite;кусать
blackest;самый чёрный
blackness;чернота, темнота
blank;пустое место, пустой, безучастный, сплошной
blankly;невыразительно, безучастно
bleak;тусклый, скучный
bless;благословлять
blessing;благословение
blew;ударял, взрывался, дул
blind;слепой, ослеплять
blindfold;завязывать глаза
blinding;слепящий
blindly;слепо
boundless;слепота
blink;моргать
blinked;моргал
block;блок, квартал, блокировать, прикрывать, заглушать
blocked;блокировал
blonde;белокурый
blood;кровь
bloody;кровавый
blossom;цветок
blouse;блузка
blow;удар, взрывать, взрываться, дуть
blowing;надувать
blue;синий, голубой
bluebottle;муха здесь
blue white;светлоголубой
blur;смазывать
blurt;говорить, выговаривать, выпаливать
blush;краснеть
blustery;буйный, бушующий
board;доска
bobbing;подпрыгивающий
body;тело
boil;кипеть
boiled;кипячённый, варёный
bold;смелый, решительный
bone;кость
bonelessly;без костей
bonnet;чепчик
book;книга
boot;сапог, ботинок
bored;скучающий
boring;скучный
borrow;брать взаймы, одалживать
both;оба, обе
bother;беспокоится, беспокоить
bothered;беспокоился
bottle;бутылка
bottom;них
bottomless;бездонный
bottoms;штаны, кончики, днища
bought;купленный
bound;окованный
bow;наклонять, кланяться
bowed;наклонялся, кланялся
bowl;миска
box;коробка
boy;мальчик
bracelet;браслет
branch;ветвь
brass;латунь, латунный
brave;смелый
bravely;смело, отважно
braver;храбрый
bread;хлеб
break;ломать, ломаться
breakfast;завтрак
breath;дыхание, вздох
breathe;дышать
breathed;дышал
breed;водить
breeze;лёгкий ветерок
brief;краткий, коротко
bridge;мост
briefly;кратко, ненадолго
bright;яркий, светлый, сияющий
brighter;ярче
brightest;ярчайший
brightly;ярко
brilliant;замечательный
bring;приносить, приводить
bringing;приносящий
bristle;щетиниться
bristling;щетинистый
Bristol;Бристоль
britches;штаны
broad;широкий
broken;сломанный
broom;метла
brought;принёс
brown;коричневый, коричневеть
browning;поджаривать
brush;мести, сметать, отметать, расчёсывать
brushed;почищенный
bubble;пузырь, пузырится
bucket;ведро
bucketing;наливаться
bug;насекомое
build;строить
building;здание
built;построен
bulb;лампочка
bullet;пуля
bump;выпуклости, сталкиваться
bumped;наткнулся
bunch;несколько
bundled;завёрнутый
burn;гореть, пылать, сжигать
burned;сгорел
burned out;сгоревший
burning;горящий, сжигание
burnt;подгоревший
burrow;зарываться
burst;взрыв, взрываться, разрывается
business;дело, работа, затея
bustle;суетиться
busy;занятой, занятый
but;но
butter;масло, мазать маслом
butterfly;бабочка
butterscotch;сделанный из ириса
button;пуговица, кнопка, застёгивать
buy;покупать
buzz;звонить в дверь, звонок в дверь, треск электричества
by;у, при, около, к, мимо
cake;торт
candle;свеча
candlestick;подсвечник
candlewick;фитиль свечи
canned;консервированные
care;забота
carrer;карьера
careful;осторожный
carefully;осторожно
caress;ласка
carpet;ковер
carpeted;ковровое покрытие
carried;унесенный
carry;нести
carve;вырезать
carved;резной
case;дело
cast;бросать
cast iron;чугун
casualty;несчастный случай
catlike;похожий на кошку
cattily;ехидно
caught;пойманный
cautiously;осторожно
ceiling;потолок
cellar;подвал
cement;цемент
century;век
certainly;конечно, уверенный
chair;стул
challenge;вызов
chance;шанс
change;менять
changed;измененный
channel;канал
chapter;глава
character;характер
charcoal;древесный уголь
charge;заряжать
charity;благотворительность
charm;очарование
chase;преследовать
chased;преследовали
chatter;болтовня
chattered;болтал
chattering;болтающий
check;проверять
checked;проверен
cheek;щека
cheerfully;весело
chimney;дымоход
chin;подбородок
china;Китай
chink;щель
chips;чипсы
chitter;щебечущий
chittering;щебетание
choice;выбор
choke;задыхаться
choked;подавился
choose;выбирать
chose;выбрал
circle;круг
circlet;обруч
circular;круговой
circumstance;обстоятельство
circus;цирк
clamber;карабкаться
clambered;вскарабкался
clap;хлопать
clapped;хлопнул
clapping;хлопающий
clatter;топот
claw;коготь
clawed;когтистый
clawlike;похожий на коготь
clay;глина
clean;чистый
cleaned;очищенный
clear;понятно
cleared;очищенный
clever;умный
climb;взбираться
cling;цепляться
clink;звон
clip;зажим
clipping;отсекающий
closer;ближе
closet;шкаф
cloth;ткань
clothes;одежда
cloud;облако
club;клуб
clue;ключ, зацепка
clump;глыба
clunk;лязг
clutch;муфта
clutches;сцепления
coal;уголь
coat;пальто
coconut;кокос
cocoon;кокон
coldly;холодно
collapsing;рушащийся
collar;воротник
collect;собирать
collection;коллекция
coloration;окраска
colorless;бесцветный
come;приходить
comfort;комфорт
comeon;приходи
comfortable;удобный
commercial;коммерческий
companion;компаньон
compartment;отсек
completely;полностью
compliant;уступчивый
concealed;скрытый
conclusion;заключение
concrete;бетон
confide;довериться
confidentially;конфиденциально
confused;смущенный
conscious;сознательный
consider;рассматривать
considered;рассмотрен
contain;содержать
contentedly;удовлетворенно
continued;продолжающийся
contract;контракт
conversation;разговор
conversationally;в разговоре
convince;убеждать
convinced;убежденный
cook;готовить
cooked;приготовленный
cooker;кухонная плита
cooking;приготовление еды
cool;прохладный
copy;копировать
