remain ;оставаться 
kill ;убивать 
reach ;доходить 
cut ;резать 
fall ;падать 
stay ;оставаться 
build ;строить 
expect ;ожидать 
send ;отправлять 
die ;умирать 
serve ;использоваться 
wait ;ожидать 
buy ;покупать 
appear ;казаться 
consider ;считать 
love ;любить 
remember ;помнить 
offer ;предоставлять 
win ;побеждать 
walk ;ходить 
open ;открывать 
grow ;расти 
spend ;тратить 
add ;добавлять 
allow ;разрешать 
read ;читать 
speak ;высказываться 
create ;производить 
stop ;останавливаться 
follow ;следовать 
watch ;смотреть 
understand ;понимать 
lead ;вести 
change ;менять 
learn ;учиться 
set ;настраивать 
continue ;продолжать 
include ;включать 
meet ;встречаться 
pay ;заплатить 
lose ;терять 
stand ;стоять 
sit ;сидеть 
provide ;снабжать 
write ;писать 
must ;должен 
happen ;происходить 
bring ;приносить 
hold ;держать 
believe ;верить 
live ;жить 
like ;нравиться 
move ;передвигаться 
run ;бежать 
play ;играть 
hear ;слышать 
show ;показывать 
might ;следовало бы 
start ;начинать 
turn ;поворачивать 
talk ;говорить 
help ;помогать 
seem ;казаться 
begin ;начинать 
let ;позволять 
keep ;держать 
mean ;подразумевать 
put ;помещать 
leave ;уходить 
become ;становиться 
feel ;чувствовать себя 
need ;нуждаться 
ask ;спрашивать 
try ;пытаться 
call ;звонить 
should ;следует 
may ;мочь 
work ;работать 
tell ;говорить 
give ;давать 
find ;находить 
use ;использовать 
look ;смотреть 
want ;хотеть 
could ;можно 
come ;приходить 
see ;видеть 
take ;брать 
think ;думать 
know ;знать 
make ;вызывать 
get ;получить 
can ;мочь 
go ;идти 
say ;сказать 
do ;делать 
have ;иметь 
be ;быть 
